Player Name,Salary
Danilo Gallinari,"19,500,000"
Bogdan Bogdanović,"18,000,000"
Clint Capela,"16,000,000"
Tony Snell,"12,178,571"
Lou Williams,"8,000,000"
De'Andre Hunter,"7,422,000"
Trae Young,"6,571,800"
Onyeka Okongwu,"5,813,640"
Kris Dunn,"4,767,000"
Cam Reddish,"4,458,000"
John Collins,"4,137,302"
Kevin Huerter,"2,761,920"
Solomon Hill,"2,174,318"
Brandon Goodwin,"1,701,593"
Bruno Fernando,"1,517,981"
Khyri Thomas,"744,684"
Nathan Knight,0
Skylar Mays,0
James Harden,"41,254,920"
Kevin Durant,"40,108,950"
Kyrie Irving,"33,460,350"
Joe Harris,"16,071,429"
Spencer Dinwiddie,"11,454,048"
DeAndre Jordan,"10,375,678"
Jeff Green,"2,564,753"
Landry Shamet,"2,090,040"
Tyler Johnson,"2,028,594"
Timothé Luwawu-Cabarrot,"1,824,003"
Bruce Brown,"1,663,861"
Nicolas Claxton,"1,517,981"
Blake Griffin,"1,229,676"
LaMarcus Aldridge,"878,340"
Iman Shumpert,"606,853"
Alize Johnson,"399,591"
Andre Roberson,"302,763"
Noah Vonleh,"263,995"
Mike James,"237,648"
Alize Johnson,"221,996"
Norvel Pelle,"217,845"
Tyler Cook,"99,020"
Reggie Perry,0
Chris Chiozza,0
Kemba Walker,"34,379,100"
Jaylen Brown,"23,437,500"
Evan Fournier,"17,450,000"
Marcus Smart,"13,446,428"
Jayson Tatum,"9,897,120"
Tristan Thompson,"9,258,000"
Romeo Langford,"3,631,200"
Aaron Nesmith,"3,458,400"
Grant Williams,"2,498,760"
Luke Kornet,"2,250,000"
Moritz Wagner,"2,161,920"
Payton Pritchard,"2,035,800"
Robert Williams,"2,029,920"
Semi Ojeleye,"1,752,950"
Carsen Edwards,"1,517,981"
Guerschon Yabusele,"1,039,080"
Jabari Parker,"430,729"
Demetrius Jackson,"92,857"
Tremont Waters,0
Tacko Fall,0
Gordon Hayward,"28,500,000"
Terry Rozier,"18,900,000"
Cody Zeller,"15,415,730"
Nicolas Batum,"9,043,478"
LaMelo Ball,"7,839,960"
Malik Monk,"5,345,687"
P.J. Washington,"4,023,600"
Miles Bridges,"3,934,320"
Bismack Biyombo,"3,500,000"
Brad Wanamaker,"2,250,000"
Devonte' Graham,"1,663,861"
Caleb Martin,"1,517,981"
Cody Martin,"1,517,981"
Jalen McDaniels,"1,517,981"
Vernon Carey,"1,350,000"
Nick Richards,"1,000,000"
Nate Darling,0
Grant Riller,0
Nikola Vučević,"26,000,000"
Zach LaVine,"19,500,000"
Thaddeus Young,"13,545,000"
Tomáš Satoranský,"10,000,000"
Al-Farouq Aminu,"9,720,900"
Cristiano Felício,"7,529,020"
Patrick Williams,"7,068,360"
Lauri Markkanen,"6,731,508"
Coby White,"5,572,680"
Daniel Theis,"5,000,000"
Garrett Temple,"4,767,000"
Denzel Valentine,"4,642,800"
Troy Brown,"3,372,840"
Ryan Arcidiacono,"3,000,000"
Javonte Green,"1,517,981"
Adam Mokoka,0
Devon Dotson,0
Kevin Love,"31,258,256"
Andre Drummond,"27,957,238"
Taurean Prince,"12,250,000"
Larry Nance,"11,709,091"
Cedi Osman,"8,840,580"
Darius Garland,"6,720,720"
Isaac Okoro,"6,400,920"
Collin Sexton,"4,991,880"
Jarrett Allen,"3,909,902"
Matthew Dellavedova,"2,174,318"
Dylan Windler,"2,137,440"
Damyean Dotson,"2,000,000"
Isaiah Hartenstein,"1,620,564"
Dean Wade,"1,517,981"
J.R. Smith,"1,456,667"
Lamar Stevens,"652,366"
Mfiondu Kabengele,"356,473"
Rayjon Tucker,"340,000"
Thon Maker,"309,355"
Quinn Cook,"237,966"
Anderson Varejão,"228,368"
Yogi Ferrell,"118,983"
Marques Bolden,0
Lamar Stevens,0
Jeremiah Martin,0
Brodric Thomas,0
Kristaps Porziņģis,"29,467,800"
Tim Hardaway,"18,975,000"
J.J. Redick,"13,013,700"
Dwight Powell,"11,080,125"
Josh Richardson,"10,865,952"
Maxi Kleber,"8,325,000"
Luka Dončić,"8,049,360"
Willie Cauley-Stein,"4,100,000"
Dorian Finney-Smith,"4,000,000"
Nicolò Melli,"3,897,436"
Boban Marjanović,"3,500,000"
Trey Burke,"3,000,000"
Josh Green,"2,816,760"
J.J. Barea,"2,564,753"
Jalen Brunson,"1,663,861"
Tyrell Terry,"1,289,846"
Tyler Bey,0
Nate Hinton,0
Nikola Jokić,"29,542,010"
Jamal Murray,"27,285,000"
Aaron Gordon,"18,136,364"
Will Barton,"13,723,214"
Paul Millsap,"10,000,000"
JaMychal Green,"7,199,760"
JaVale McGee,"4,200,000"
Michael Porter,"3,550,800"
Facundo Campazzo,"3,200,000"
Zeke Nnaji,"2,379,840"
Bol Bol,"2,058,240"
Gary Clark,"2,000,000"
PJ Dozier,"1,762,796"
Monte Morris,"1,723,707"
Vlatko Čančar,"1,517,981"
Austin Rivers,"429,049"
Shaquille Harrison,0
Markus Howard,0
Greg Whittington,0
Blake Griffin,"32,670,565"
Jerami Grant,"19,050,000"
Cory Joseph,"12,600,000"
Mason Plumlee,"8,000,000"
Dennis Smith,"5,686,677"
Killian Hayes,"5,307,120"
Rodney McGruder,"5,192,307"
Josh Jackson,"4,767,000"
Sekou Doumbouya,"3,449,400"
Isaiah Stewart,"3,121,080"
Dewayne Dedmon,"2,866,667"
Saddiq Bey,"2,689,920"
Wayne Ellington,"2,564,753"
Džanan Musa,"2,002,800"
Jahlil Okafor,"1,882,867"
Hamidou Diallo,"1,663,861"
Deividas Sirvydis,"898,310"
Tyler Cook,"594,121"
Frank Jackson,0
Saben Lee,0
Stephen Curry,"43,006,362"
Klay Thompson,"35,361,360"
Andrew Wiggins,"29,542,010"
Draymond Green,"22,246,956"
Kelly Oubre,"14,375,000"
James Wiseman,"8,730,240"
Kevon Looney,"4,821,429"
Kent Bazemore,"2,320,044"
Jordan Poole,"2,063,280"
Damion Lee,"1,762,796"
Eric Paschall,"1,517,981"
Alen Smailagić,"1,517,981"
Mychal Mulder,"1,517,981"
Shaun Livingston,"666,667"
Juan Toscano-Anderson,"358,295"
Gary Payton,"237,966"
Jordan Bell,0
Nico Mannion,0
Juan Toscano-Anderson,0
John Wall,"41,254,920"
Eric Gordon,"16,869,276"
Christian Wood,"13,015,874"
Kelly Olynyk,"12,819,649"
Dante Exum,"9,600,000"
D.J. Augustin,"6,666,667"
Avery Bradley,"5,635,000"
D.J. Wilson,"4,548,280"
Danuel House,"3,717,000"
DeMarcus Cousins,"2,331,593"
Ben McLemore,"2,283,034"
David Nwaba,"1,824,003"
Kevin Porter,"1,717,981"
Sterling Brown,"1,678,854"
Chris Clemons,"1,517,981"
Jae'Sean Tate,"1,445,967"
Kenyon Martin,"898,310"
Bruno Caboclo,"361,256"
Khyri Thomas,"360,998"
Troy Williams,"122,741"
Mason Jones,"61,528"
Jerian Grant,"50,000"
Cameron Oliver,"43,070"
Cameron Reynolds,"33,299"
Mason Jones,0
Justin Patton,0
Armoni Brooks,0
Anthony Lamb,0
Malcolm Brogdon,"20,700,000"
Domantas Sabonis,"19,800,000"
Myles Turner,"18,000,000"
Caris LeVert,"16,203,704"
T.J. Warren,"12,000,000"
Jeremy Lamb,"10,500,000"
Doug McDermott,"7,333,333"
Justin Holiday,"5,720,400"
T.J. McConnell,"3,500,000"
Goga Bitadze,"2,957,520"
Aaron Holiday,"2,345,640"
Monta Ellis,"2,245,400"
Edmond Sumner,"2,160,000"
JaKarr Sampson,"1,882,867"
Jalen Lecque,"1,517,981"
Kelan Martin,"1,445,697"
Oshae Brissett,"955,493"
Amida Brimah,0
Cassius Stanley,0
Brian Bowen,0
Paul George,"35,450,412"
Kawhi Leonard,"34,379,100"
Marcus Morris,"14,883,721"
Patrick Beverley,"13,333,333"
Serge Ibaka,"9,258,000"
Rajon Rondo,"8,250,000"
Ivica Zubac,"7,000,000"
Luke Kennard,"5,273,826"
Patrick Patterson,"3,077,704"
Nicolas Batum,"2,564,753"
Reggie Jackson,"2,331,593"
Terance Mann,"1,517,984"
Daniel Oturu,"898,310"
DeMarcus Cousins,"654,762"
Yogi Ferrell,"333,152"
Malik Fitts,"61,528"
Jay Scrubb,0
Amir Coffey,0
LeBron James,"39,219,566"
Anthony Davis,"32,742,000"
Dennis Schröder,"16,000,000"
Kentavious Caldwell-Pope,"12,073,020"
Montrezl Harrell,"9,258,000"
Luol Deng,"5,000,000"
Wesley Matthews,"3,623,000"
Kyle Kuzma,"3,562,178"
Alex Caruso,"2,750,000"
Jared Dudley,"2,564,753"
Marc Gasol,"2,564,753"
Markieff Morris,"2,331,593"
Quinn Cook,"1,797,183"
Alfonzo McKinnie,"1,762,796"
Talen Horton-Tucker,"1,517,981"
Andre Drummond,"794,536"
Jordan Bell,"580,062"
Ben McLemore,"569,674"
Damian Jones,"237,966"
Devontae Cacok,0
Kostas Antetokounmpo,0
Gorgui Dieng,"16,587,688"
Jonas Valančiūnas,"15,000,000"
Justise Winslow,"13,000,000"
Dion Waiters,"12,650,000"
Dillon Brooks,"11,400,000"
De'Anthony Melton,"9,571,712"
Kyle Anderson,"9,505,100"
Ja Morant,"9,166,800"
Tyus Jones,"8,817,143"
Jaren Jackson,"7,257,360"
Marko Guduric,"2,750,000"
Brandon Clarke,"2,602,920"
Grayson Allen,"2,545,320"
John Konchar,"2,100,000"
Mario Hezonja,"1,977,011"
Desmond Bane,"1,936,440"
Jontay Porter,"1,900,000"
Xavier Tillman,"1,300,000"
Tim Frazier,"554,542"
Dakari Johnson,"459,414"
Sean McDermott,0
Killian Tillie,0
Jimmy Butler,"34,379,100"
Victor Oladipo,"21,000,000"
Goran Dragić,"18,000,000"
Andre Iguodala,"15,000,000"
Trevor Ariza,"12,800,000"
Nemanja Bjelica,"7,150,000"
Ryan Anderson,"5,214,583"
Bam Adebayo,"5,115,492"
Tyler Herro,"3,822,240"
Precious Achiuwa,"2,582,160"
Udonis Haslem,"2,564,753"
Kendrick Nunn,"1,663,861"
Duncan Robinson,"1,663,861"
KZ Okpala,"1,517,981"
Dewayne Dedmon,"580,811"
A.J. Hammons,"350,087"
Omer Yurtseven,"18,458"
Gabe Vincent,0
Max Strus,0
Khris Middleton,"33,051,724"
Giannis Antetokounmpo,"27,528,088"
Jrue Holiday,"25,111,111"
Brook Lopez,"12,697,675"
P.J. Tucker,"7,969,537"
Pat Connaughton,"4,938,273"
Bobby Portis,"3,623,000"
Jon Leuer,"3,169,348"
Donte DiVincenzo,"3,044,160"
Bryn Forbes,"2,337,145"
Larry Sanders,"1,865,546"
Rodions Kurucs,"1,780,152"
Thanasis Antetokounmpo,"1,701,593"
Jordan Nwora,"898,310"
Sam Merrill,"898,310"
Jeff Teague,"808,073"
Mamadi Diakite,"160,173"
Elijah Bryant,"24,611"
Axel Toupane,0
Justin Jackson,0
Karl-Anthony Towns,"29,467,800"
D'Angelo Russell,"28,649,250"
Ricky Rubio,"17,000,000"
Malik Beasley,"13,425,895"
Anthony Edwards,"9,757,440"
Juan Hernangómez,"6,493,000"
Jarrett Culver,"6,104,280"
Ed Davis,"5,005,350"
Jake Layman,"3,761,085"
Josh Okogie,"2,651,040"
Jaden McDaniels,"1,964,760"
Jarred Vanderbilt,"1,663,861"
Jaylen Nowell,"1,517,981"
Naz Reid,"1,517,981"
Cole Aldrich,"685,340"
Jordan McLaughlin,0
Steven Adams,"29,592,695"
Brandon Ingram,"27,285,000"
Eric Bledsoe,"16,875,000"
James Johnson,"16,047,100"
Lonzo Ball,"11,003,782"
Zion Williamson,"10,245,480"
Jaxson Hayes,"5,105,160"
Kira Lewis,"3,640,200"
Josh Hart,"3,491,159"
Nickeil Alexander-Walker,"3,113,160"
Willy Hernangómez,"1,737,145"
Wesley Iwundu,"1,678,854"
Wenyen Gabriel,"1,620,564"
Sindarius Thornwell,"977,415"
Isaiah Thomas,"158,907"
Marcos Louzada Silva,"123,056"
Naji Marshall,"120,000"
Will Magnay,0
Naji Marshall,0
James Nunnally,0
Julius Randle,"18,900,000"
RJ Barrett,"8,231,760"
Derrick Rose,"7,682,926"
Joakim Noah,"6,431,667"
Frank Ntilikina,"6,176,578"
Alec Burks,"6,000,000"
Elfrid Payton,"5,767,000"
Nerlens Noel,"5,000,000"
Obi Toppin,"4,862,040"
Kevin Knox,"4,588,680"
Reggie Bullock,"4,200,000"
Terrance Ferguson,"3,944,013"
Luca Vildoza,"3,500,000"
Taj Gibson,"3,283,684"
Vincent Poirier,"2,619,207"
Immanuel Quickley,"2,105,520"
Jacob Evans,"2,017,320"
Omari Spellman,"1,988,280"
Mitchell Robinson,"1,663,861"
Wayne Ellington,"1,000,000"
Norvel Pelle,"698,040"
John Henson,"158,907"
Jared Harper,"99,020"
Andrew White,"25,000"
Tyler Hall,"25,000"
Theo Pinson,0
Myles Powell,0
Jared Harper,0
Al Horford,"27,500,000"
Meyers Leonard,"9,400,000"
Darius Miller,"7,000,000"
Justin Jackson,"5,029,650"
T.J. Leaf,"4,326,825"
Shai Gilgeous-Alexander,"4,141,320"
Gabriel Deck,"3,870,370"
Tony Bradley,"3,542,060"
Austin Rivers,"3,500,000"
Aleksej Pokusevski,"2,964,840"
Darius Bazley,"2,399,160"
Ty Jerome,"2,303,040"
Mike Muscala,"2,283,034"
Kenrich Williams,"2,000,000"
Théo Maledon,"2,000,000"
Sviatoslav Mykhailiuk,"1,663,861"
Josh Gray,"1,620,564"
Luguentz Dort,"1,517,981"
Isaiah Roby,"1,517,981"
Admiral Schofield,"1,517,981"
Zylan Cheatham,"1,445,697"
Moses Brown,"1,250,000"
Kyle Singler,"999,200"
Patrick Patterson,"737,067"
Frank Jackson,"250,000"
Charlie Brown,"217,844"
Justin Robinson,"198,040"
Jaylen Hoard,0
Moses Brown,0
Josh Hall,0
Otto Porter,"28,489,239"
Gary Harris,"19,160,714"
Terrence Ross,"13,500,000"
Markelle Fultz,"12,288,697"
Jonathan Isaac,"7,362,566"
Mohamed Bamba,"5,969,040"
Wendell Carter,"5,448,840"
Michael Carter-Williams,"3,300,000"
James Ennis,"3,300,000"
Cole Anthony,"3,285,120"
Chuma Okeke,"3,121,080"
Khem Birch,"2,586,036"
Jeff Teague,"2,564,753"
R.J. Hampton,"2,193,480"
Dwayne Bacon,"1,678,854"
Donta Hall,"277,256"
Moritz Wagner,"221,995"
Robert Franks,"198,040"
Ignas Brazdeikis,"148,530"
Devin Cannady,"61,528"
Chasson Randle,0
Sindarius Thornwell,0
Karim Mané,0
Devin Cannady,0
Tobias Harris,"34,358,850"
Ben Simmons,"30,559,200"
Joel Embiid,"29,542,010"
Danny Green,"15,365,853"
George Hill,"9,590,602"
Seth Curry,"7,834,449"
Mike Scott,"5,005,350"
Matisse Thybulle,"2,711,280"
Dwight Howard,"2,564,753"
Tyrese Maxey,"2,478,840"
Furkan Korkmaz,"1,762,796"
Shake Milton,"1,701,593"
Ignas Brazdeikis,"1,517,981"
Isaiah Joe,"898,310"
Anthony Tolliver,"614,838"
Paul Reed,"609,128"
Justin Anderson,"125,000"
Gary Clark,0
Rayjon Tucker,0
Paul Reed,0
Mason Jones,0
Chris Paul,"41,358,814"
Devin Booker,"29,467,800"
Deandre Ayton,"10,018,200"
Jae Crowder,"9,258,000"
Dario Šarić,"9,250,000"
Mikal Bridges,"4,359,000"
Jalen Smith,"4,245,720"
Cameron Johnson,"4,235,160"
Jevon Carter,"3,925,000"
E'Twaun Moore,"2,331,593"
Langston Galloway,"2,028,594"
Cameron Payne,"1,977,011"
Frank Kaminsky,"1,882,867"
Abdel Nader,"1,752,950"
Torrey Craig,"1,678,854"
Damian Jones,"785,285"
Ty-Shon Alexander,0
Damian Lillard,"31,626,953"
CJ McCollum,"29,354,152"
Jusuf Nurkić,"12,888,889"
Robert Covington,"12,138,345"
Norman Powell,"10,865,952"
Derrick Jones,"9,258,000"
Zach Collins,"5,406,255"
Enes Kanter,"5,005,350"
Andrew Nicholson,"2,844,430"
Carmelo Anthony,"2,564,753"
Anfernee Simons,"2,252,040"
Nassir Little,"2,210,640"
Anderson Varejão,"1,913,345"
Harry Giles,"1,678,854"
CJ Elleby,"898,310"
Rondae Hollis-Jefferson,"502,417"
T.J. Leaf,0
Keljin Blevins,0
Buddy Hield,"24,701,834"
Harrison Barnes,"22,215,909"
Delon Wright,"9,000,000"
Marvin Bagley,"8,963,640"
De'Aaron Fox,"8,099,627"
Jabari Parker,"6,500,000"
Richaun Holmes,"5,005,350"
Tyrese Haliburton,"3,831,840"
Maurice Harkless,"3,623,000"
Hassan Whiteside,"2,320,044"
Mfiondu Kabengele,"2,075,880"
Chris Silva,"1,517,981"
Justin James,"1,517,981"
Terence Davis,"1,517,981"
Robert Woodard,"1,500,000"
Jahmi'us Ramsey,"1,000,000"
Glenn Robinson,"930,930"
Chimezie Metu,"750,000"
Damian Jones,"475,931"
Norvel Pelle,"99,020"
Kyle Guy,0
Chimezie Metu,0
DeMar DeRozan,"27,739,975"
LaMarcus Aldridge,"16,750,000"
Rudy Gay,"14,500,000"
Dejounte Murray,"14,286,000"
Patty Mills,"13,535,714"
Jakob Poeltl,"8,101,852"
DeMarre Carroll,"6,119,676"
Trey Lyles,"5,500,000"
Devin Vassell,"4,033,440"
Derrick White,"3,516,284"
Lonnie Walker,"2,892,000"
Luka Šamanić,"2,824,320"
Keldon Johnson,"2,048,040"
Marquese Chriss,"1,824,003"
Drew Eubanks,"1,620,564"
DaQuan Jeffries,"1,445,697"
Gorgui Dieng,"1,000,000"
Tre Jones,"898,310"
Cameron Reynolds,"110,998"
Keita Bates-Diop,0
Quinndary Weatherspoon,0
Pascal Siakam,"30,559,200"
Kyle Lowry,"30,500,000"
Fred VanVleet,"21,250,000"
Rodney Hood,"10,047,450"
Aron Baynes,"7,000,000"
Chris Boucher,"6,500,000"
Patrick McCaw,"4,000,000"
OG Anunoby,"3,872,215"
Stanley Johnson,"3,804,150"
Alex Len,"2,258,000"
Malachi Flynn,"1,950,600"
DeAndre' Bembry,"1,737,145"
Gary Trent,"1,663,861"
Paul Watson,"1,445,697"
Khem Birch,"425,463"
Yuta Watanabe,"321,893"
Oshae Brissett,"300,000"
Freddie Gillespie,"239,959"
Henry Ellenson,"168,983"
Donta Hall,"99,020"
Yuta Watanabe,0
Jalen Harris,0
Mike Conley,"34,504,132"
Rudy Gobert,"27,525,281"
Bojan Bogdanović,"17,850,000"
Jordan Clarkson,"11,500,000"
Joe Ingles,"10,863,637"
Derrick Favors,"9,258,000"
Royce O'Neale,"8,500,000"
Donovan Mitchell,"5,195,501"
Udoka Azubuike,"1,977,000"
Georges Niang,"1,783,557"
Juwan Morgan,"1,517,981"
Matt Thomas,"1,517,981"
Miye Oni,"1,517,981"
Ersan İlyasova,"1,194,542"
Elijah Hughes,"898,310"
Shaquille Harrison,"770,433"
Trent Forrest,0
Jarrell Brantley,0
Russell Westbrook,"41,358,814"
Bradley Beal,"28,751,774"
Dāvis Bertāns,"15,000,000"
Thomas Bryant,"8,333,333"
Robin Lopez,"7,300,000"
Ish Smith,"6,000,000"
Rui Hachimura,"4,692,840"
Deni Avdija,"4,469,160"
Jerome Robinson,"3,737,520"
Chandler Hutchison,"2,443,440"
Raul Neto,"1,882,867"
Alex Len,"1,697,755"
Isaac Bonga,"1,663,861"
Daniel Gafford,"1,517,981"
Anthony Gill,"898,310"
Anžejs Pasečņiks,"374,297"
Jordan Bell,"229,980"
Caleb Homesley,"20,000"
Cassius Winston,0
Garrison Mathews,0
