,Player,Salary
0,John Collins,"23,000,000"
1,Danilo Gallinari,"20,475,000"
2,Bogdan Bogdanović,"18,000,000"
3,Clint Capela,"17,103,448"
4,Delon Wright,"8,526,316"
5,Trae Young,"8,326,471"
6,De'Andre Hunter,"7,775,400"
7,Onyeka Okongwu,"6,104,280"
8,Kevin Knox,"5,845,978"
9,Lou Williams,"5,000,000"
10,Kevin Huerter,"4,253,357"
11,Gorgui Dieng,"4,000,000"
12,Jalen Johnson,"2,659,560"
13,Timothé Luwawu-Cabarrot,"1,939,350"
14,Lance Stephenson,"138,019"
15,Wes Iwundu,"102,831"
16,Chris Clemons,"95,930"
17,Tyrone Wallace,"95,930"
18,Cameron Oliver,"85,578"
19,Malcolm Hill,"53,176"
20,Malik Ellison,"53,176"
21,Cat Barber,"53,176"
22,Chaundee Brown Jr.,"53,176"
23,Justin Tillman,"53,176"
24,Skylar Mays,"34,231"
25,Kevin Durant,"40,918,900"
26,Kyrie Irving,"34,916,200"
27,Ben Simmons,"31,590,000"
28,Joe Harris,"17,357,143"
29,Seth Curry,"8,186,047"
30,Patty Mills,"5,890,000"
31,Bruce Brown,"4,736,102"
32,Jevon Carter,"3,650,000"
33,LaMarcus Aldridge,"2,641,691"
34,James Johnson,"2,641,691"
35,Blake Griffin,"2,641,691"
36,Andre Drummond,"2,401,537"
37,Edmond Sumner,"2,320,000"
38,Jahlil Okafor,"2,130,023"
39,Cam Thomas,"2,036,280"
40,Day'Ron Sharpe,"2,009,040"
41,DeAndre' Bembry,"1,939,350"
42,Nic Claxton,"1,782,621"
43,Goran Dragić,"728,742"
44,Langston Galloway,"128,709"
45,Langston Galloway,"128,709"
46,James Ennis III,"126,528"
47,Shaquille Harrison,"102,831"
48,Shaquille Harrison,"101,088"
49,Wenyen Gabriel,"99,380"
50,Kessler Edwards,"5,318"
51,Jayson Tatum,"28,103,550"
52,Al Horford,"27,000,000"
53,Jaylen Brown,"24,830,357"
54,Derrick White,"15,178,571"
55,Marcus Smart,"14,339,285"
56,Daniel Theis,"8,372,093"
57,Robert Williams,"3,661,976"
58,Aaron Nesmith,"3,631,200"
59,Grant Williams,"2,617,800"
60,Payton Pritchard,"2,137,440"
61,Jabari Parker,"1,068,288"
62,Guerschon Yabusele,"1,039,080"
63,Luke Kornet,"606,702"
64,Sam Hauser,"313,737"
65,Malik Fitts,"231,062"
66,Joe Johnson,"151,821"
67,Al-Farouq Aminu,"151,821"
68,C.J. Miles,"149,248"
69,Justin Jackson,"102,831"
70,Jabari Parker,"100,000"
71,Norvel Pelle,"95,930"
72,Kelan Martin,"95,930"
73,Kelan Martin,"95,930"
74,Juwan Morgan,"95,930"
75,Demetrius Jackson,"92,857"
76,Malik Fitts,"85,578"
77,Malik Fitts,"85,578"
78,Juwan Morgan,"19,186"
79,Gordon Hayward,"29,900,000"
80,Terry Rozier,"17,905,263"
81,Kelly Oubre Jr.,"12,000,000"
82,Montrezl Harrell,"9,720,900"
83,Nicolas Batum,"9,043,478"
84,LaMelo Ball,"8,231,760"
85,Mason Plumlee,"8,137,500"
86,Miles Bridges,"5,421,493"
87,P.J. Washington,"4,215,120"
88,James Bouknight,"4,154,400"
89,Kai Jones,"2,770,560"
90,Wes Iwundu,"1,824,003"
91,Jalen McDaniels,"1,782,621"
92,Cody Martin,"1,782,621"
93,Nick Richards,"1,517,981"
94,JT Thor,"1,250,000"
95,Isaiah Thomas,"276,039"
96,Isaiah Thomas,"138,019"
97,Isaiah Thomas,"138,019"
98,DeMar DeRozan,"26,000,000"
99,Nikola Vučević,"24,000,000"
100,Zach LaVine,"19,500,000"
101,Lonzo Ball,"18,604,651"
102,Derrick Jones Jr.,"9,720,900"
103,Alex Caruso,"8,604,651"
104,Patrick Williams,"7,422,000"
105,Coby White,"5,837,760"
106,Troy Brown Jr.,"5,170,564"
107,Tony Bradley,"1,789,256"
108,Javonte Green,"1,669,178"
109,Matt Thomas,"1,669,178"
110,Alfonzo McKinnie,"1,090,007"
111,Tristan Thompson,"1,000,000"
112,Marko Simonovic,"925,258"
113,Ayo Dosunmu,"925,258"
114,Alize Johnson,"705,598"
115,Ersan İlyasova,"151,821"
116,Stanley Johnson,"120,083"
117,Jordan Bell,"102,831"
118,Alfonzo McKinnie,"101,088"
119,Alfonzo McKinnie,"101,088"
120,Mac McClung,"53,176"
121,Mac McClung,"53,176"
122,Malcolm Hill,"53,176"
123,Kevin Love,"31,300,000"
124,Jarrett Allen,"20,000,000"
125,Caris LeVert,"17,500,000"
126,Lauri Markkanen,"15,690,909"
127,Evan Mobley,"8,075,160"
128,Cedi Osman,"8,050,000"
129,Darius Garland,"7,040,880"
130,Isaac Okoro,"6,720,720"
131,Collin Sexton,"6,349,671"
132,Ed Davis,"2,641,691"
133,Rajon Rondo,"2,641,691"
134,Dylan Windler,"2,239,200"
135,Dean Wade,"1,782,621"
136,Isaiah Hartenstein,"1,701,593"
137,Kevin Pangos,"1,669,178"
138,Lamar Stevens,"1,517,981"
139,J.R. Smith,"1,456,666"
140,Tim Frazier,"128,709"
141,Justin Anderson,"111,457"
142,Luke Kornet,"102,831"
143,Brandon Goodwin,"99,380"
144,Moses Brown,"95,930"
145,Moses Brown,"95,930"
146,Malik Newman,"85,578"
147,RJ Nembhard Jr.,"58,493"
148,Tre Scott,"53,176"
149,Moses Brown,"19,186"
150,Tim Hardaway Jr.,"21,306,816"
151,Spencer Dinwiddie,"17,142,857"
152,Dāvis Bertāns,"16,000,000"
153,Dwight Powell,"11,000,000"
154,Luka Dončić,"10,174,391"
155,Reggie Bullock,"9,536,000"
156,Maxi Kleber,"8,750,000"
157,Willie Cauley-Stein,"4,100,000"
158,Dorian Finney-Smith,"4,000,000"
159,Boban Marjanović,"3,500,000"
