,Player name,Team,Games,Minutes Played,Age,Field Goals,Field Goal Attempts,Points,Turnover,Assists,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Steals,Freethrows,Freethrow Attempts,Blocks
0,Steven Adams,OKC,63,1680,26,283,478,684,94,146,207,376,583,51,117,201,67
1,Bam Adebayo,MIA,72,2417,22,440,790,1146,204,368,176,559,735,82,264,382,93
2,LaMarcus Aldridge,SAS,53,1754,34,391,793,1001,74,129,103,289,392,36,158,191,87
3,Kyle Alexander,MIA,2,13,23,1,2,2,1,0,2,1,3,0,0,0,0
4,Nickeil Alexander-Walker,NOP,47,591,21,98,266,267,54,89,9,75,84,17,25,37,8
5,Grayson Allen,MEM,38,718,24,117,251,330,33,52,8,77,85,10,39,45,2
6,Jarrett Allen,BRK,70,1852,21,302,465,775,77,110,216,455,671,40,171,270,92
7,Kadeem Allen,NYK,10,117,27,19,44,50,8,21,2,7,9,5,7,11,2
8,Al-Farouq Aminu,ORL,18,380,29,25,86,78,17,21,24,63,87,18,19,29,8
9,Justin Anderson,BRK,10,107,26,10,38,28,4,8,1,20,21,0,2,4,6
10,Kyle Anderson,MEM,67,1330,26,157,331,390,66,162,58,227,285,54,52,78,37
11,Ryan Anderson,HOU,2,14,31,2,7,5,1,2,0,7,7,1,0,0,0
12,Giannis Antetokounmpo,MIL,63,1917,25,685,1238,1857,230,354,140,716,856,61,398,629,66
13,Kostas Antetokounmpo,LAL,5,20,22,3,3,7,1,2,2,1,3,0,1,2,0
14,Thanasis Antetokounmpo,MIL,20,129,27,24,48,55,12,15,12,12,24,7,7,17,2
15,Carmelo Anthony,POR,58,1902,35,336,782,895,100,85,71,297,368,49,136,161,27
16,OG Anunoby,TOR,69,2066,22,286,566,733,79,108,80,284,364,96,72,102,45
17,Ryan Arcidiacono,CHI,58,930,25,90,220,261,37,96,20,90,110,27,27,38,3
18,Trevor Ariza,TOT,53,1493,34,142,324,423,56,91,34,212,246,69,62,74,15
19,Trevor Ariza,SAC,32,791,34,64,165,192,28,50,21,125,146,35,21,27,7
20,Trevor Ariza,POR,21,702,34,78,159,231,28,41,13,87,100,34,41,47,8
21,D.J. Augustin,ORL,57,1420,32,184,461,599,86,262,22,100,122,34,161,181,1
22,Deandre Ayton,PHO,38,1236,21,310,568,690,80,72,147,289,436,26,67,89,58
23,Dwayne Bacon,CHO,39,687,24,85,244,224,37,52,15,85,100,23,35,53,2
24,Marvin Bagley III,SAC,13,334,20,78,167,185,18,10,29,68,97,6,25,31,12
25,Lonzo Ball,NOP,63,2025,22,277,687,745,193,438,71,312,383,88,43,76,38
26,Mo Bamba,ORL,62,878,21,132,286,332,42,42,100,202,302,23,31,46,86
27,J.J. Barea,DAL,29,450,35,85,207,222,38,112,10,43,53,5,20,22,2
28,Harrison Barnes,SAC,72,2482,27,365,793,1046,88,159,77,278,355,43,214,267,12
29,RJ Barrett,NYK,56,1704,19,292,727,803,124,143,50,229,279,55,156,254,17
30,Will Barton,DEN,58,1916,29,332,738,874,88,212,76,289,365,61,102,133,29
31,Keita Bates-Diop,TOT,44,744,24,100,234,288,17,30,25,102,127,19,54,75,24
32,Keita Bates-Diop,MIN,37,646,24,87,206,251,14,30,21,89,110,17,46,65,20
33,Keita Bates-Diop,DEN,7,98,24,13,28,37,3,0,4,13,17,2,8,10,4
34,Nicolas Batum,CHO,22,505,31,28,81,79,22,66,25,75,100,17,9,10,8
35,Aron Baynes,PHO,42,934,33,183,381,481,50,67,71,166,237,10,56,75,23
36,Kent Bazemore,TOT,68,1688,30,200,534,597,91,93,27,267,294,74,113,147,40
37,Kent Bazemore,POR,43,1111,30,113,326,340,60,61,13,159,172,45,58,72,31
38,Kent Bazemore,SAC,25,577,30,87,208,257,31,32,14,108,122,29,55,75,9
39,Darius Bazley,OKC,61,1130,19,125,317,342,45,41,30,216,246,23,43,62,41
40,Bradley Beal,WAS,57,2053,26,593,1303,1741,194,347,52,190,242,71,385,457,23
41,Malik Beasley,TOT,55,1209,23,227,534,615,57,75,18,130,148,40,54,66,8
42,Malik Beasley,DEN,41,746,23,117,301,325,36,48,9,68,77,31,33,38,6
43,Malik Beasley,MIN,14,463,23,110,233,290,21,27,9,62,71,9,21,28,2
44,Marco Belinelli,SAS,57,883,33,123,314,361,19,69,7,92,99,12,48,58,1
